TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,809.0842491,792.1611722,815.5311355,806.2637363,864.6886447,790.952381,0.139404,0.038635,0.969604,4.09729,4.695435,3.072968,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,807.8754579,791.3553114,813.5164835,791.3553114,812.7106227,710.3663004,0.139404,0.038635,0.969604,4.09729,4.695435,3.072968,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,806.6666667,790.952381,809.8901099,790.952381,823.1868132,738.5714286,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,811.0989011,787.7289377,807.0695971,797.3992674,781.6849817,724.8717949,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,810.2930403,792.5641026,809.8901099,796.996337,737.7655678,707.1428571,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,804.6520147,799.010989,815.9340659,801.025641,793.7728938,718.8278388,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.498459507,0.07669782,1.008027716,1.13665622,0.01657765,0.025489534,0.489601637,1.209397484,0.188093271,0.085955392,0.744198847,0.756109147,0.376514519,0.184033054,0.457394926,0.412026843,-0.142052056,-0.016681134,0.14007316,796.1904762,791.7582418,811.0989011,801.4285714,725.6776557,708.7545788,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,792.1611722,789.7435897,807.8754579,793.3699634,709.5604396,950.5128205,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,805.4578755,790.1465201,811.0989011,790.5494505,751.0622711,1021.831502,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,801.025641,788.1318681,810.6959707,790.1465201,772.014652,1047.619048,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,785.7142857,790.1465201,808.2783883,788.5347985,786.5201465,889.6703297,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,779.6703297,792.1611722,813.9194139,786.9230769,780.0732601,780.8791209,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,795.7875458,793.7728938,815.1282051,784.5054945,827.6190476,858.6446886,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,812.3076923,793.7728938,806.6666667,782.8937729,825.2014652,724.0659341,0.136841,0.038818,0.973877,3.140259,5.8992,3.04306,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,804.2490842,793.3699634,807.0695971,789.3406593,785.7142857,706.7399267,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,788.5347985,793.7728938,809.8901099,791.7582418,809.8901099,751.0622711,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,786.1172161,794.5787546,808.6813187,795.7875458,853.4065934,774.029304,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,796.996337,796.5934066,807.8754579,787.3260073,826.4102564,713.5897436,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,799.010989,793.3699634,808.2783883,777.2527473,789.3406593,751.0622711,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
07:03.4,1.37498007,0.407729957,0.158149909,1.008027716,1.13665622,-0.010406036,0.056098937,0.489601637,1.209397484,0.188093271,0.121453336,0.744198847,0.756109147,0.364227017,0.204788729,0.457394926,0.412026843,-0.163406182,-0.036354919,0.14007316,799.8168498,795.3846154,808.6813187,784.9084249,775.6410256,1048.827839,0.127014,0.029236,0.9776,2.990723,7.858124,2.519684,1,1,1,1,1,65,
